Name,Group,Release,Daily,Weekly,Description
FlashTest.flash_tool_0105(),,,Yes,Yes,Linux完全刷新降级BIOS
FlashTest.flash_tool_0106(),,Yes,Yes,Yes,Linux下备份BIOS
FlashTest.flash_tool_0107(),,Yes,Yes,Yes,"Linux下只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0108(),,Yes,Yes,Yes,"Linux下只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0109(),,,Yes,Yes,"Linux下只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0110(),,,Yes,Yes,"Linux下只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0112(),,Yes,Yes,Yes,Linux下工具锁住，BIOS刷新失败测试
FlashTest.flash_tool_0113(),,Yes,Yes,Yes,Linux下解锁后保留刷新BIOS
FlashTest.flash_tool_0114(),,,Yes,Yes,Linux下解锁后完全刷新BIOS
FlashTest.flash_tool_0115(),,Yes,Yes,Yes,Linux下解锁BIOS，刷新同时备份BIOS
FlashTest.flash_tool_0116(),,Yes,Yes,Yes,"Linux下解锁BIOS，只保留Setup,更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0117(),,,Yes,Yes,"Linux下解锁BIOS，只保留SMBIOS,更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0119(),,Yes,Yes,Yes,Linux下设置管理员密码，保留升级BIOS
FlashTest.flash_tool_0120(),,Yes,Yes,Yes,Linux下设置管理员密码，保留降级BIOS
FlashTest.flash_tool_0121(),,,Yes,Yes,Linux下设置管理员密码，完全升级BIOS
FlashTest.flash_tool_0122(),,,Yes,Yes,Linux下设置管理员密码，完全降级BIOS
FlashTest.flash_tool_0123(),,Yes,Yes,Yes,"Linux下设置管理员只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0124(),,Yes,Yes,Yes,"Linux下设置管理员密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0125(),,,Yes,Yes,"Linux下设置管理员密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0126(),,,Yes,Yes,"Linux下设置管理员密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0128(),,Yes,Yes,Yes,"Linux下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0129(),,Yes,Yes,Yes,Linux下设置用户密码，保留升级BIOS
FlashTest.flash_tool_0130(),,Yes,Yes,Yes,Linux下设置用户密码，保留降级BIOS
FlashTest.flash_tool_0131(),,,Yes,Yes,Linux下设置用户密码，完全升级BIOS
FlashTest.flash_tool_0132(),,,Yes,Yes,Linux下设置用户密码，完全降级BIOS
FlashTest.flash_tool_0133(),,Yes,Yes,Yes,"Linux下设置用户只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0134(),,Yes,Yes,Yes,"Linux下设置用户密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0135(),,,Yes,Yes,"Linux下设置用户密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0136(),,,Yes,Yes,"Linux下设置用户密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0138(),,Yes,Yes,Yes,"Linux下设置用户密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0139(),,Yes,Yes,Yes,Linux下同时设置管理员密码，用户密码，保留升级BIOS
FlashTest.flash_tool_0140(),,Yes,Yes,Yes,Linux下同时设置管理员密码，用户密码，保留降级BIOS
FlashTest.flash_tool_0141(),,,Yes,Yes,Linux下同时设置管理员密码，用户密码，完全升级BIOS
FlashTest.flash_tool_0142(),,,Yes,Yes,Linux下同时设置管理员密码，用户密码，完全降级BIOS
FlashTest.flash_tool_0143(),,Yes,Yes,Yes,"Linux下同时设置管理员密码，用户密码只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0144(),,Yes,Yes,Yes,"Linux下同时设置管理员密码，用户密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0145(),,,Yes,Yes,"Linux下同时设置管理员密码，用户密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
