Name,Group,Release,Daily,Weekly,Description
FlashTest.flash_tool_0103(),,Yes,,,Linux保留降级BIOS
FlashTest.flash_tool_0104(),,,,,Linux完全刷新升级BIOS
FlashTest.flash_tool_0105(),,,,,Linux完全刷新降级BIOS
FlashTest.flash_tool_0106(),,Yes,,,Linux下备份BIOS
FlashTest.flash_tool_0107(),,Yes,,,"Linux下只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0108(),,Yes,,,"Linux下只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0109(),,,,,"Linux下只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0110(),,,,,"Linux下只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0111(),,,,,Linux下更新oa3文件
FlashTest.flash_tool_0112(),,Yes,,,Linux下工具锁住，BIOS刷新失败测试
FlashTest.flash_tool_0113(),,Yes,,,Linux下解锁后保留刷新BIOS
FlashTest.flash_tool_0114(),,,,,Linux下解锁后完全刷新BIOS
FlashTest.flash_tool_0115(),,Yes,,,Linux下解锁BIOS，刷新同时备份BIOS
FlashTest.flash_tool_0116(),,Yes,,,"Linux下解锁BIOS，只保留Setup,更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0117(),,,,,"Linux下解锁BIOS，只保留SMBIOS,更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0118(),,,,,Linux下解锁BIOS，更新OA3文件
FlashTest.flash_tool_0119(),,Yes,,,Linux下设置管理员密码，保留升级BIOS
FlashTest.flash_tool_0120(),,Yes,,,Linux下设置管理员密码，保留降级BIOS
FlashTest.flash_tool_0121(),,,,,Linux下设置管理员密码，完全升级BIOS
FlashTest.flash_tool_0122(),,,,,Linux下设置管理员密码，完全降级BIOS
FlashTest.flash_tool_0123(),,Yes,,,"Linux下设置管理员只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0124(),,Yes,,,"Linux下设置管理员密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0125(),,,,,"Linux下设置管理员密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0126(),,,,,"Linux下设置管理员密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0127(),,,,,"Linux下设置管理员密码,更新OA3"
FlashTest.flash_tool_0128(),,Yes,,,"Linux下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0129(),,Yes,,,Linux下设置用户密码，保留升级BIOS
FlashTest.flash_tool_0130(),,Yes,,,Linux下设置用户密码，保留降级BIOS
FlashTest.flash_tool_0131(),,,,,Linux下设置用户密码，完全升级BIOS
FlashTest.flash_tool_0132(),,,,,Linux下设置用户密码，完全降级BIOS
FlashTest.flash_tool_0133(),,Yes,,,"Linux下设置用户只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0134(),,Yes,,,"Linux下设置用户密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0135(),,,,,"Linux下设置用户密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0136(),,,,,"Linux下设置用户密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0137(),,,,,"Linux下设置用户密码,更新OA3"
FlashTest.flash_tool_0138(),,Yes,,,"Linux下设置用户密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0139(),,Yes,,,Linux下同时设置管理员密码，用户密码，保留升级BIOS
FlashTest.flash_tool_0140(),,Yes,,,Linux下同时设置管理员密码，用户密码，保留降级BIOS
FlashTest.flash_tool_0141(),,,,,Linux下同时设置管理员密码，用户密码，完全升级BIOS
FlashTest.flash_tool_0142(),,,,,Linux下同时设置管理员密码，用户密码，完全降级BIOS
FlashTest.flash_tool_0143(),,Yes,,
FlashTest.flash_tool_0144(),,Yes,,
FlashTest.flash_tool_0145(),,,,
FlashTest.flash_tool_0146(),,,,
FlashTest.flash_tool_0147(),,,,,"Linux下设置管理员密码,更新OA3"
FlashTest.flash_tool_0148(),,Yes,,,"Linux下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0149(),,Yes,,,"Linux下设置管理员密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0150(),,Yes,,,"Linux下设置用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0151(),,Yes,,,"Linux下同时设置管理员密码，用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0152(),,Yes,,,"Linux下负面测试(错误BIOS,错误OA3,错误命令参数)"
FlashTest.flash_tool_0201(),,Yes,,Yes,WINDOWS下检查Flash工具版本，帮助信息
FlashTest.flash_tool_0202(),,Yes,,Yes,WINDOWS保留升级BIOS
FlashTest.flash_tool_0203(),,Yes,,,WINDOWS保留降级BIOS
FlashTest.flash_tool_0204(),,,,Yes,WINDOWS完全刷新升级BIOS
FlashTest.flash_tool_0205(),,,,,WINDOWS完全刷新降级BIOS
FlashTest.flash_tool_0206(),,Yes,,Yes,WINDOWS下备份BIOS
FlashTest.flash_tool_0207(),,Yes,,Yes,"WINDOWS下只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0208(),,Yes,,,"WINDOWS下只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0209(),,,,Yes,"WINDOWS下只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0210(),,,,,"WINDOWS下只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0211(),,,,Yes,WINDOWS下更新oa3文件
FlashTest.flash_tool_0212(),,Yes,,Yes,WINDOWS下工具锁住，BIOS刷新失败测试
FlashTest.flash_tool_0213(),,Yes,,Yes,WINDOWS下解锁后保留刷新BIOS
FlashTest.flash_tool_0214(),,,,Yes,WINDOWS下解锁后完全刷新BIOS
FlashTest.flash_tool_0215(),,Yes,,Yes,WINDOWS下解锁BIOS，刷新同时备份BIOS
FlashTest.flash_tool_0216(),,Yes,,Yes,"WINDOWS下解锁BIOS，只保留Setup,更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0217(),,,,Yes,"WINDOWS下解锁BIOS，只保留SMBIOS,更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0218(),,,,Yes,WINDOWS下解锁BIOS，更新OA3文件
FlashTest.flash_tool_0219(),,Yes,,Yes,WINDOWS下设置管理员密码，保留升级BIOS
FlashTest.flash_tool_0220(),,Yes,,,WINDOWS下设置管理员密码，保留降级BIOS
FlashTest.flash_tool_0221(),,,,Yes,WINDOWS下设置管理员密码，完全升级BIOS
FlashTest.flash_tool_0222(),,,,,WINDOWS下设置管理员密码，完全降级BIOS
FlashTest.flash_tool_0223(),,Yes,,Yes,"WINDOWS下设置管理员只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0224(),,Yes,,,"WINDOWS下设置管理员密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0225(),,,,Yes,"WINDOWS下设置管理员密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0226(),,,,,"WINDOWS下设置管理员密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0227(),,,,Yes,"WINDOWS下设置管理员密码,更新OA3"
FlashTest.flash_tool_0228(),,Yes,,Yes,"WINDOWS下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0229(),,Yes,,Yes,WINDOWS下设置用户密码，保留升级BIOS
FlashTest.flash_tool_0230(),,Yes,,,WINDOWS下设置用户密码，保留降级BIOS
FlashTest.flash_tool_0231(),,,,Yes,WINDOWS下设置用户密码，完全升级BIOS
FlashTest.flash_tool_0232(),,,,,WINDOWS下设置用户密码，完全降级BIOS
FlashTest.flash_tool_0233(),,Yes,,Yes,"WINDOWS下设置用户只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0234(),,Yes,,,"WINDOWS下设置用户密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0235(),,,,Yes,"WINDOWS下设置用户密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0236(),,,,,"WINDOWS下设置用户密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0237(),,,,Yes,"WINDOWS下设置用户密码,更新OA3"
FlashTest.flash_tool_0238(),,Yes,,Yes,"WINDOWS下设置用户密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0239(),,Yes,,Yes,WINDOWS下同时设置管理员密码，用户密码，保留升级BIOS
