Name,Group,Release,Daily,Weekly
SecureBootTest.secure_boot_3205(),,,Yes,
SecureBootTest.secure_boot_3206(),,,Yes,
SecureBootTest.secure_boot_3207(),,,Yes,
SecureBootTest.secure_boot_3301(),,,Yes,
SecureBootTest.secure_boot_3302(),,,Yes,
SecureBootTest.secure_boot_3303(),,,Yes,
SecureBootTest.secure_boot_3304(),,,Yes,
SecureBootTest.secure_boot_3305(),,,Yes,
SecureBootTest.secure_boot_3306(),,,Yes,
SecureBootTest.secure_boot_3307(),,,Yes,
SecureBootTest.secure_boot_3308(),,,Yes,
SecureBootTest.secure_boot_3401(),,,Yes,
SecureBootTest.secure_boot_3402(),,,Yes,
SecureBootTest.secure_boot_3403(),,,Yes,
SecureBootTest.secure_boot_3404(),,,Yes,
SecureBootTest.secure_boot_3405(),,,Yes,
RASTest.mem_ras_001(oem=False),,,Yes,
RASTest.mem_ras_002(oem=False),,,Yes,
RASTest.mem_ras_003(oem=False),,,Yes,
RASTest.mem_ras_004(oem=False),,,Yes,
RASTest.mem_ras_005_(),,,Yes,
RASTest.mem_ras_006_(),,,Yes,
RASTest.mem_ras_007(),,,Yes,
RASTest.mem_ras_008(),,,Yes,
RASTest.pcie_ras_001(),,,Yes,
RASTest.pcie_ras_002(),,,Yes,
RASTest.pcie_ras_003(oem=False),,,Yes,
RASTest.pcie_ras_004(oem=False),,,Yes,
RASTest.pcie_ras_005(),,,Yes,
RASTest.cpu_ras_001(),,,Yes,
RASTest.cpu_ras_002(oem=False),,,Yes,
RASTest.cpu_ras_003(),,,Yes,
